Genus	Species	Aggregation_score	B_vitamins	Copies_16S	GC_content	Gene_number	Genome_Mb	Gram_positive	IgA	Length	Motility	Oxygen_tolerance	pH_optimum	Salt_optimum	Temp_optimum	Width	Sporulation
Salinispora	cortesiana	NA	NA	NA	NA	NA	5.18306	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salinispora	fenicalii	NA	NA	NA	NA	NA	5.23469	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salinispora	goodfellowii	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salinispora	mooreana	NA	NA	NA	NA	NA	5.1982	1	NA	NA	1	5	NA	NA	NA	NA	0
Salinispora	oceanensis	NA	NA	NA	NA	NA	5.44721	1	NA	NA	1	5	NA	NA	NA	NA	0
Salinispora	pacifica	NA	NA	NA	69.7	NA	5.45034	1	NA	NA	0.6	5	NA	NA	NA	NA	0.4
Salinispora	tropica	1	NA	3	70.5	4740	5.18333	1	NA	NA	0	5	NA	NA	21.5	NA	0.6666666666666666
Salinispora	vitiensis	NA	NA	NA	NA	NA	5.09779	1	NA	NA	1	5	NA	NA	NA	NA	0
Salinivenus	iranica	NA	NA	NA	NA	NA	3.40536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salinivibrio	costicola	NA	NA	9	49.8133	3343	3.53118	0	NA	NA	NA	5	NA	NA	NA	NA	NA
Salinivibrio	kushneri	NA	NA	9	50.6775	3158	3.44329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salinivibrio	proteolyticus	NA	NA	NA	49.5	NA	3.6035	0	NA	0.5007752879124892	1	2	8.25	5	33.5	-0.5978370007556204	0
Salinivibrio	sharmensis	NA	NA	NA	51	NA	3.32689	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salinivibrio	siamensis	NA	NA	NA	49	NA	3.44218	0	NA	1.6094379124341003	1	1	8	9.5	37	-0.7985076962177716	0
Salinivibrio	socompensis	NA	NA	NA	NA	NA	3.35202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salinivirga	cyanobacteriivorans	NA	NA	3	39	3832	4.81239	0	NA	NA	NA	1	NA	NA	NA	NA	NA
Salinovum	rubellum	NA	NA	NA	65.6	NA	NA	0	NA	0.30010459245033816	0	5	NA	NA	NA	-0.2231435513142097	0
Salipaludibacillus	agaradhaerens	NA	NA	NA	39.325	NA	4.31944	1	NA	NA	1	2	NA	NA	NA	NA	1
Salipaludibacillus	aurantiacus	NA	NA	NA	42.4	NA	4.43518	1	NA	0.6678293725756554	0	5	NA	NA	NA	-0.5108256237659907	1
Salipaludibacillus	halalkaliphilus	NA	NA	NA	38.8	NA	NA	1	NA	0.4382549309311553	0	2	NA	NA	NA	-1.0498221244986778	1
Salipaludibacillus	keqinensis	NA	NA	NA	NA	NA	4.15043	1	NA	NA	NA	NA	9	NA	NA	NA	NA
Salipaludibacillus	neizhouensis	NA	NA	NA	39.8	NA	5.51109	1	NA	1.3862943611198906	0	5	NA	NA	NA	-0.5978370007556204	1
Saliphagus	infecundisoli	NA	NA	NA	64.6	NA	NA	0	NA	0.13976194237515863	0	5	NA	NA	NA	0.13976194237515863	NA
Salipiger	abyssi	NA	NA	NA	65.6901	5146	5.25907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salipiger	aestuarii	NA	NA	NA	67.5	NA	4.62374	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salipiger	bermudensis	1	NA	NA	65.4	NA	5.13108	0	NA	0.5596157879354227	0	3.5	NA	NA	NA	-0.16251892949777494	0
Salipiger	manganoxidans	NA	NA	NA	NA	NA	5.00041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salipiger	mangrovisoli	NA	NA	NA	NA	NA	6.35026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salipiger	marinus	NA	NA	NA	67.5	NA	5.6116	0	NA	0.4054651081081644	0	NA	NA	NA	NA	-0.05129329438755058	NA
Salipiger	mucescens	NA	NA	NA	64.5	NA	NA	0	NA	0.8109302162163288	0	NA	8	9.5	30	-0.13353139262452263	NA
Salipiger	mucosus	NA	NA	NA	64.5	NA	5.68939	0	NA	0.661398482245365	0	5	8	NA	NA	0.22314355131420976	1
Salipiger	pacificus	1	NA	5	63.3	NA	NA	0	NA	0.22314355131420976	1	5	NA	NA	NA	-0.2231435513142097	0
Salipiger	pallidus	NA	NA	NA	NA	NA	4.44333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salipiger	profundus	NA	NA	4	65.69433333333333	5224	5.304273333333334	0	NA	NA	NA	5	NA	NA	NA	NA	NA
Salipiger	thiooxidans	NA	NA	NA	NA	NA	5.87137	0	NA	NA	NA	5	NA	NA	NA	NA	NA
Salirhabdus	euzebyi	NA	NA	NA	37	NA	3.78424	1	NA	1.749199854809259	1	5	7.8	5	37.5	-1.0498221244986778	1
Salirhabdus	salicampi	NA	NA	NA	36.5	NA	NA	1	NA	0.5596157879354227	1	5	NA	NA	NA	-1.0498221244986778	1
Salisaeta	longa	NA	NA	NA	62.9	NA	3.39902	0	NA	3.1135153092103742	NA	5	7.5	10	41.5	NA	NA
Salisediminibacterium	beveridgei	NA	NA	NA	46.266666666666666	3456	3.58227	1	NA	NA	1	1	NA	NA	NA	NA	NA
Salisediminibacterium	haloalkalitolerans	NA	NA	NA	NA	NA	2.93791	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salisediminibacterium	halotolerans	NA	NA	NA	48.2	NA	2.84107	1	NA	1.252762968495368	0	2.75	7.75	NA	37	-0.4307829160924542	0.3333333333333333
Salisediminibacterium	locisalis	NA	NA	NA	42.2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salisediminibacterium	selenitireducens	NA	NA	NA	49	NA	3.59249	1	NA	NA	0	2.5	NA	NA	NA	NA	1
Saliterribacillus	persicus	NA	NA	NA	35.2	NA	3.76351	1	NA	1.0986122886681098	1	5	7	7.5	35	1.0986122886681098	1
Salmonella	bongori	NA	NA	7	51.3061	4391.692307692308	4.499348148148148	0	NA	NA	1	4.666666666666667	NA	NA	NA	NA	1
Salmonella	enterica	NA	8	6.98051948051948	52.08020768642447	4788.1956696070565	4.880672335498662	0.001004016064257028	NA	0.6931471805599453	0.9755102040816327	4.190625	NA	NA	NA	0	0.28
Salmonella	subterranea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
Salsipaludibacter	albus	NA	NA	NA	NA	NA	4.24607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salsuginibacillus	halophilus	NA	NA	NA	46.4	NA	3.0195	1	NA	1.252762968495368	0	5	8.5	19	37	-0.4307829160924542	0.75
Salsuginibacillus	kocurii	1	NA	NA	44.7	NA	3.83178	1	NA	1.1786549963416462	1	5	8.2	10	35	-0.2876820724517809	0.6666666666666666
Salsuginimonas	clara	NA	NA	NA	51	NA	NA	0	NA	0.8109302162163288	1	5	NA	NA	NA	-0.7985076962177716	0
Samsonia	erythrinae	NA	NA	NA	57	NA	3.87902	0	NA	NA	NA	5	NA	NA	NA	NA	NA
Sandaracinobacter	neustonicus	NA	NA	NA	65.3	NA	3.65035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sandaracinobacter	sibiricus	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sandaracinobacteroides	hominis	NA	NA	NA	NA	NA	3.53021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sandaracinomonas	limnophila	NA	NA	NA	35.8	NA	2.69152	0	NA	-0.10536051565782628	0	5	7	NA	NA	-0.7985076962177716	0.5
Sandaracinus	amylolyticus	NA	NA	2	70.78088	9043	10.5819	0	NA	1.5040773967762742	NA	5	NA	NA	NA	-0.16251892949777494	1
Sandaracinus	Amylolyticus	NA	NA	NA	66.8	NA	NA	0	NA	1.5040773967762742	NA	NA	7	NA	30	-0.16251892949777494	1
Sandarakinorhabdus	cyanobacteriorum	NA	NA	NA	66.1	NA	3.53274	0	NA	0.6931471805599453	1	NA	NA	NA	NA	-0.2231435513142097	NA
Sandarakinorhabdus	limnophila	1	NA	NA	64.3	NA	2.61374	0	NA	-0.2231435513142097	0	5	NA	NA	NA	-1.171182981502945	0.3333333333333333
Sandarakinorhabdus	oryzae	NA	NA	NA	NA	NA	3.26563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
