Genus	Species	Aggregation_score	B_vitamins	Copies_16S	GC_content	Gene_number	Genome_Mb	Gram_positive	IgA	Length	Motility	Oxygen_tolerance	pH_optimum	Salt_optimum	Temp_optimum	Width	Sporulation
Abditibacteriota	bacterium	NA	NA	NA	55.0836	6464	7.53356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abditibacterium	utsteinense	NA	NA	NA	54.27	NA	3.60633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abiotrophia	defectiva	NA	NA	4	46.86666666666667	1898	2.04683	1	NA	NA	0	2.611111111111111	NA	NA	NA	NA	1
Absconditicoccus	praedator	NA	NA	NA	27.9	1074	1.1297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Absicoccus	porci	NA	NA	NA	38.4	NA	2.22213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Absiella	tortuosum	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abyssibacter	profundi	NA	NA	NA	63.1	NA	3.74151	0	NA	0.5877866649021191	1	5	NA	NA	NA	-0.6931471805599453	NA
Abyssicoccus	albus	NA	NA	NA	36.86666666666667	1802	1.74579	1	NA	NA	NA	5	NA	NA	NA	NA	NA
Abyssisolibacter	fermentans	NA	NA	NA	NA	NA	4.78636	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abyssivirga	alkaniphila	NA	NA	NA	31.7	NA	NA	1	NA	1.252762968495368	1	1	NA	NA	NA	-0.6931471805599453	0
Abyssogena	phaseoliformis	NA	NA	NA	37	1991	1.54218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acanthopleuribacter	pedis	1	NA	NA	56.7	NA	10.8486	0	NA	1.2669476034873244	1	5	7	0	30	-0.16251892949777494	0
Acaricomes	phytoseiuli	1	NA	NA	57.7	NA	2.41952	1	NA	0.22314355131420976	NA	5	6.875	0	25	-0.4307829160924542	0.3333333333333333
Acaryochloris	marina	NA	NA	2	46.887299999999996	6990	7.862068	0	NA	NA	NA	5	NA	NA	NA	NA	NA
Accumulibacter	aalborgensis	NA	NA	NA	NA	NA	4.70707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Accumulibacter	adjunctus	NA	NA	NA	NA	NA	4.41272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Accumulibacter	appositus	NA	NA	NA	NA	NA	4.94794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Accumulibacter	similis	NA	NA	NA	66	NA	5.03901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acerihabitans	arboris	NA	NA	NA	NA	NA	5.64493	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetanaerobacterium	elongatum	NA	NA	NA	50.4	NA	2.91621	1	NA	1.791759469228055	1	1	6.75	1	37	-1.2039728043259361	0
Acetatifactor	muris	NA	NA	NA	48.5	NA	6.01365	1	NA	NA	NA	1	NA	NA	NA	NA	NA
Acetatifactor	stercoripullorum	NA	NA	NA	NA	NA	3.06775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetilactobacillus	jinshanensis	NA	NA	5	39.7	1589	1.61643	1	NA	0.6418538861723947	0	2	NA	NA	NA	-0.4307829160924542	0
Acetitomaculum	ruminis	NA	NA	NA	34	NA	3.08272	1	NA	NA	NA	1	NA	NA	NA	NA	NA
Acetivibrio	aldrichii	NA	NA	NA	40	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA
Acetivibrio	alkalicellulosi	NA	NA	NA	30	NA	5.30723	1	NA	NA	NA	1	9.1	NA	NA	NA	0
Acetivibrio	cellulolyticus	NA	NA	NA	NA	NA	6.15674	1	NA	NA	1	2.5	NA	NA	NA	NA	1
Acetivibrio	clariflavus	NA	NA	NA	36.1	4206	4.89768	0.95	NA	1.55814461804655	0	1	NA	NA	NA	-1.2039728043259361	0.5
Acetivibrio	ethanolgignens	NA	NA	NA	40	NA	3.66025	1	NA	NA	NA	1	NA	NA	NA	NA	NA
Acetivibrio	mesophilus	NA	NA	NA	38.36	NA	4.04484	1	NA	-0.005012541823544286	0	1	NA	NA	NA	NA	1
Acetivibrio	saccincola	NA	NA	NA	34.849999999999994	3305	3.60455	1	NA	2.0149030205422647	0	1	NA	NA	NA	-1.6094379124341003	1
Acetivibrio	straminisolvens	NA	NA	NA	41.3	NA	3.90712	1	NA	1.7047480922384253	0	1	NA	NA	NA	-0.2876820724517809	1
Acetivibrio	thermocellus	NA	NA	NA	39.13636363636364	3162.75	3.6280311111111114	1	NA	NA	1	1	NA	NA	NA	NA	0.043478260869565216
Acetoanaerobium	noterae	NA	NA	NA	NA	NA	2.81423	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetoanaerobium	pronyense	NA	NA	NA	32.9	NA	2.9803	1	NA	NA	NA	1	NA	NA	NA	NA	NA
Acetoanaerobium	sticklandii	NA	NA	6	33.3	2605	2.71546	1	NA	NA	1	1	NA	NA	NA	NA	0
Acetobacter	aceti	NA	NA	3.3333333333333335	56.71718461538462	3510.3333333333335	3.7804128571428572	0	NA	NA	NA	5	NA	NA	NA	NA	NA
Acetobacter	ascendens	NA	NA	5	52.93494285714286	3033.6666666666665	3.1839985714285715	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	cerevisiae	NA	NA	NA	57.15	NA	3.08807	0	NA	1.0986122886681098	0	5	NA	NA	NA	0	0
Acetobacter	cibinongensis	NA	NA	NA	54.5	NA	3.10509	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	conturbans	NA	NA	NA	NA	NA	3.88413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	estunensis	NA	NA	NA	59.3	NA	3.44737	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	fabarum	1	NA	NA	57.5	NA	3.0277	0	NA	0.7419373447293773	1	NA	7	0	28	-0.2231435513142097	0
Acetobacter	fallax	NA	NA	NA	NA	NA	4.21701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	farinalis	NA	NA	NA	NA	NA	2.947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	garciniae	NA	NA	NA	NA	NA	3.84825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	ghanensis	NA	NA	NA	57.3	NA	2.79403	0	NA	0.6931471805599453	1	NA	NA	NA	NA	-0.2231435513142097	NA
Acetobacter	indonesiensis	NA	NA	NA	53.7	NA	3.19172	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	lambici	NA	NA	NA	56.2	NA	3.25237	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
Acetobacter	lovaniensis	NA	NA	NA	58.6	NA	3.46946	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	malorum	NA	NA	NA	57.2	NA	3.83348	0	NA	0.1823215567939546	0	5	NA	NA	NA	-0.10536051565782628	0
Acetobacter	musti	NA	NA	NA	58	NA	4.71341	0	NA	0.371563556432483	1	NA	NA	NA	NA	0.1823215567939546	NA
Acetobacter	nitrogenifigens	1	NA	NA	64.1	NA	4.24131	0	NA	0.5596157879354227	1	5	7	0	30	-1.8971199848858813	0
Acetobacter	oeni	1	NA	NA	58.1	NA	4.10607	0	NA	1.4701758451005926	1	5	NA	0	28	-0.16251892949777494	0
Acetobacter	okinawensis	NA	NA	NA	59.3	NA	3.1109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	orientalis	NA	NA	5	52.4334	2979	3.1135433333333333	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	orleanensis	NA	NA	NA	56.5	NA	2.99754	0	NA	NA	NA	5	NA	NA	NA	NA	NA
Acetobacter	oryzifermentans	NA	NA	5	52.557919999999996	2985	3.11903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	oryzoeni	NA	NA	5	53.08546666666667	2956	3.15318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	papayae	NA	NA	NA	60.6	NA	3.04108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	pasteurianus	NA	NA	4.857142857142857	53.675959999999996	3041.214285714286	3.2336406896551724	0	NA	NA	NA	5	NA	NA	NA	NA	NA
Acetobacter	peroxydans	NA	NA	NA	NA	NA	2.70346	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	persici	NA	NA	4	58.12185	3456	3.672963333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	pomorum	NA	NA	5	52.143159999999995	2935.5	3.13088	0	NA	0.371563556432483	0	5	NA	NA	NA	0	NA
Acetobacter	sacchari	NA	NA	NA	NA	NA	4.5532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	senegalensis	1	NA	5	55.797	3639	3.96991	0	NA	0.47000362924573563	1	5	NA	NA	35	-0.2231435513142097	0
Acetobacter	sicerae	NA	NA	NA	NA	NA	4.03306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	suratthaniensis	NA	NA	NA	NA	NA	3.08818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	syzygii	NA	NA	NA	55.3	NA	2.68737	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	thailandicus	NA	NA	NA	NA	NA	2.77952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter	tropicalis	NA	NA	5	55.70935	3740	4.0163166666666665	0	NA	NA	1	5	NA	NA	NA	NA	1
Acetobacteraceae	bacterium	NA	4	NA	42.98126666666667	1932	2.0380766666666665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacterium	bakii	NA	NA	NA	42.1	NA	4.31918	1	NA	NA	NA	1	NA	NA	NA	NA	NA
Acetobacterium	carbinolicum	NA	NA	NA	41.3	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA
Acetobacterium	dehalogenans	NA	NA	NA	43.8	NA	4.05007	1	NA	NA	NA	1	NA	NA	NA	NA	NA
Acetobacterium	fimetarium	NA	NA	NA	45.6	NA	3.23749	1	NA	NA	NA	1	NA	NA	NA	NA	NA
Acetobacterium	malicum	NA	NA	NA	NA	NA	4.07723	1	NA	NA	NA	1	NA	NA	NA	NA	NA
Acetobacterium	paludosum	NA	NA	NA	41.7	NA	3.69113	1	NA	NA	NA	1	NA	NA	NA	NA	NA
Acetobacterium	tundrae	NA	NA	NA	39.2	NA	3.56308	1	NA	NA	NA	1	NA	NA	NA	NA	NA
Acetobacterium	wieringae	NA	NA	NA	43.800000000000004	3658	3.676266666666667	1	NA	NA	NA	1	7	NA	NA	NA	NA
Acetobacterium	woodii	NA	NA	5	39.199999999999996	3712	4.04478	1	NA	NA	1	1	NA	NA	NA	NA	NA
Acetobacteroides	hydrogenigenes	NA	NA	NA	51.2	NA	3.8611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetocimmeria	pyornia	NA	NA	NA	NA	NA	2.74668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetohalobium	arabaticum	NA	NA	5	35.6	2419	2.4696	1	NA	1.0986122886681098	1	1	NA	NA	NA	-0.16251892949777494	1
Acetomicrobium	flavidum	NA	NA	NA	NA	NA	1.94473	0	NA	NA	NA	1	NA	NA	NA	NA	NA
Acetomicrobium	hydrogeniformans	NA	NA	NA	46.6	NA	2.12392	0	NA	0.7884573603642703	0.5	1	NA	NA	NA	-0.7985076962177716	0.5
Acetomicrobium	mobile	NA	NA	2	49.166666666666664	2094	2.1607	0	NA	1.3862943611198906	1	1	6.95	NA	NA	-0.2876820724517809	0.5
Acetomicrobium	thermoterrenum	NA	NA	NA	44	NA	1.96758	0	NA	NA	0.5	1	7.05	NA	NA	NA	0.5
Acetonema	longum	NA	NA	NA	51.5	NA	4.32301	0	NA	NA	NA	1	NA	NA	NA	NA	0
Acholeplasma	axanthum	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acholeplasma	brassicae	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acholeplasma	equifetale	NA	NA	NA	NA	NA	1.28237	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acholeplasma	equirhinis	NA	NA	NA	36.83	NA	1.44642	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
Acholeplasma	granularum	NA	NA	2	NA	NA	1.45354	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acholeplasma	hippikon	NA	NA	3	30.9961	1424	1.46567	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acholeplasma	laidlawii	NA	NA	2	31.9	1425	1.496148	0	NA	NA	0	4.5	NA	NA	NA	NA	NA
Acholeplasma	multilocale	NA	NA	NA	NA	NA	0.924993	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acholeplasma	oculi	NA	NA	NA	31.3	1505	1.5916066666666666	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acholeplasma	palmae	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acholeplasma	pleciae	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acholeplasma	vituli	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Achromatium	palustre	NA	NA	NA	NA	NA	3.64568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Achromobacter	aegrifaciens	NA	NA	NA	NA	NA	6.67398	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
Achromobacter	aestuarii	NA	NA	NA	NA	NA	5.33821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Achromobacter	agilis	NA	NA	NA	66.4	NA	6.37648	0	NA	0.1823215567939546	1	5	NA	NA	NA	-0.5978370007556204	NA
Achromobacter	aloeverae	NA	NA	NA	66.5	NA	6.49216	0	NA	1.0116009116784799	1	5	NA	NA	NA	0	0
Achromobacter	animicus	NA	NA	NA	NA	NA	5.93386	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
Achromobacter	anxifer	NA	NA	NA	NA	NA	7.21291	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
Achromobacter	arsenitoxydans	NA	NA	NA	NA	NA	6.15666	0	NA	NA	1	5	NA	NA	NA	NA	NA
Achromobacter	deleyi	NA	NA	3	66.62857142857143	6002	6.625944285714286	0	NA	0.371563556432483	1	5	NA	NA	NA	-0.5978370007556204	NA
Achromobacter	denitrificans	NA	NA	3.8333333333333335	67.62307692307692	6277.5	6.742306153846154	0	NA	NA	NA	4.666666666666667	NA	NA	NA	NA	NA
Achromobacter	dolens	NA	NA	NA	NA	NA	6.21623	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
Achromobacter	insolitus	NA	NA	4	65.05953333333333	6097.25	6.555901111111111	0	NA	0.4054651081081644	NA	5	NA	NA	NA	NA	NA
Achromobacter	insuavis	NA	NA	NA	NA	NA	6.87692	0	NA	NA	1	5	NA	NA	NA	NA	NA
Achromobacter	kerstersii	NA	NA	NA	63.7	NA	6.72074	0	NA	0.1823215567939546	1	5	NA	NA	NA	-0.5978370007556204	NA
Achromobacter	marplatensis	NA	NA	NA	65.4	NA	6.88584	0	NA	0.7419373447293773	0	5	NA	NA	NA	-0.2876820724517809	NA
Achromobacter	mucicolens	NA	NA	NA	NA	NA	5.88728	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
Achromobacter	nius	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Achromobacter	pestifer	NA	NA	4	65.32226666666666	6657	7.08681	0	NA	0.1823215567939546	1	5	NA	NA	NA	-0.5978370007556204	NA
Achromobacter	piechaudii	NA	7	NA	65	NA	6.17215	0	NA	NA	0	5	NA	NA	NA	NA	1
Achromobacter	pulmonis	NA	NA	NA	NA	NA	6.00048	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
Achromobacter	ruhlandii	NA	NA	NA	66.2	NA	6.45695	0	NA	NA	NA	5	NA	NA	NA	NA	NA
Achromobacter	veterisilvae	NA	NA	NA	NA	NA	6.81499	0	NA	NA	1	NA	7	NA	NA	NA	NA
Achromobacter	xylosoxidans	NA	NA	3.1176470588235294	67.33249523809523	6129.05	6.633691219512195	0	NA	NA	1	5	NA	NA	NA	NA	NA
Acidaminobacter	hydrogenoformans	NA	NA	NA	48.1	NA	3.61561	1	NA	NA	NA	1	NA	NA	NA	NA	NA
Acidaminococcus	fermentans	NA	NA	6	55.96	2192	2.331138	0	NA	NA	0	1	7	NA	NA	-0.2231435513142097	1
Acidaminococcus	intestini	0	NA	3	49.65	2394	2.421133333333333	0.2	NA	-0.5978370007556204	0	1	NA	NA	NA	-0.5978370007556204	0
Acidaminococcus	massiliensis	NA	NA	NA	NA	NA	2.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidaminococcus	provencensis	NA	NA	NA	NA	NA	2.60549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidaminococcus	timonensis	NA	NA	NA	NA	NA	2.29706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidianus	ambivalens	NA	NA	1	33.45	2626	2.25203	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
Acidianus	brierleyi	NA	NA	1	31.3	3184	2.94724	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
Acidianus	infernus	NA	NA	NA	31	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
Acidianus	manzaensis	NA	NA	1	30.6	2779	2.68746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidianus	sulfidivorans	NA	NA	1	31.1	2348	2.26531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidibacillus	ferrooxidans	NA	NA	NA	52	NA	2.99049	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidibacillus	sulfuroxidans	NA	NA	NA	46	NA	2.87373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidibacter	ferrireducens	NA	NA	NA	70.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidibrevibacterium	fodinaquatile	NA	NA	1	65.62466666666667	3852	4.03761	0	NA	1.1786549963416462	0.5	5	4	NA	NA	0.3364722366212129	0.5
Acidicaldus	organivorans	NA	NA	NA	71.8	NA	2.98963	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidicapsa	acidiphila	NA	NA	NA	59.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidicapsa	acidisoli	NA	NA	NA	56.9	NA	NA	0	NA	0.1823215567939546	0	5	NA	NA	NA	-0.16251892949777494	0
Acidicapsa	borealis	NA	NA	NA	54.1	NA	NA	0	NA	0.7537718023763802	0	5	5.25	NA	25	-0.2876820724517809	0
Acidicapsa	dinghuensis	NA	NA	NA	52.8	NA	NA	0	NA	0	0	5	NA	NA	NA	-0.5108256237659907	0
Acidicapsa	ferrireducens	NA	NA	NA	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidicapsa	ligni	NA	NA	NA	51.7	NA	NA	0	NA	0.4054651081081644	0	5	4.6	NA	25	-0.4307829160924542	0.5
Acididesulfobacillus	acetoxydans	NA	NA	NA	53.7	4010	4.52022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acididesulfobacter	diazotrophicus	NA	NA	NA	NA	NA	2.45954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acididesulfobacter	guangdongensis	NA	NA	NA	NA	NA	2.21712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidiferrimicrobium	australe	NA	NA	NA	NA	NA	4.07397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidiferrobacter	thiooxydans	NA	NA	NA	63.43333333333334	3079	3.30227	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidihalobacter	aeolianus	NA	NA	NA	62.2	NA	3.52612	0	NA	0.4054651081081644	1	5	NA	NA	NA	NA	NA
Acidihalobacter	ferrooxydans	NA	NA	NA	61.6	NA	3.44883	0	NA	0	1	5	NA	NA	NA	NA	NA
Acidihalobacter	yilgarnensis	NA	NA	NA	59.9	3478	3.5669400000000002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidilobus	aceticus	NA	NA	NA	53.8	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
Acidilobus	saccharovorans	NA	NA	1	55.85	1543	1.49645	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
Acidiluteibacter	ferrifornacis	NA	NA	NA	35.6	NA	3.51757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidimangrovimonas	sediminis	NA	NA	NA	67.9	NA	5.28427	0	NA	1.3862943611198906	NA	5	NA	NA	NA	0.6418538861723947	NA
Acidimicrobium	ferrooxidans	NA	NA	2	67.96666666666667	2069	2.15816	1	NA	0.22314355131420976	1	5	NA	NA	NA	-0.9808292530117262	1
Acidiphilium	acidophilum	NA	NA	NA	63.05	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidiphilium	angustum	NA	NA	NA	NA	NA	4.17541	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidiphilium	cryptum	NA	NA	2	67.9495	3765	3.96308	0	NA	-0.35667494393873245	1	5	NA	NA	NA	-1.0498221244986778	0
Acidiphilium	iwatense	NA	NA	NA	NA	NA	4.16364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidiphilium	multivorum	NA	NA	2	67.15635	4118.5	4.29782	0	NA	NA	1	5	NA	NA	NA	NA	NA
Acidiphilium	organovorum	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidiphilium	rubrum	NA	NA	NA	NA	NA	3.97699	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidipila	dinghuensis	NA	NA	NA	56.3	NA	NA	0	NA	0.1823215567939546	0	5	NA	NA	NA	-0.16251892949777494	NA
Acidipila	rosea	NA	NA	NA	NA	NA	4.21373	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
Acidiplasma	aeolicum	NA	NA	NA	36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidiplasma	cupricumulans	NA	NA	NA	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidipropionibacterium	acidipropionici	NA	NA	4.142857142857143	68.32934117647059	3381.8571428571427	3.645014	1	NA	NA	0	1	NA	NA	NA	NA	1
Acidipropionibacterium	damnosum	NA	NA	NA	67.5	NA	NA	1	NA	NA	NA	3	NA	NA	NA	NA	NA
Acidipropionibacterium	jensenii	NA	NA	3.25	67.86153846153846	2738	3.05713	1	NA	NA	NA	1	7	NA	NA	NA	1
Acidipropionibacterium	microaerophilum	NA	NA	NA	68	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA
Acidipropionibacterium	olivae	NA	NA	NA	70	NA	NA	1	NA	NA	0	1	NA	NA	NA	NA	0
Acidipropionibacterium	thoenii	NA	NA	NA	66	NA	2.93807	1	NA	NA	NA	1	NA	NA	NA	NA	1
Acidipropionibacterium	timonense	NA	NA	NA	NA	NA	2.81651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidipropionibacterium	virtanenii	NA	NA	3	68.4	3161	3.43287	1	NA	1.0986122886681098	NA	1	NA	NA	NA	-0.35667494393873245	NA
Acidisarcina	polymorpha	NA	NA	1	56.8879	6277	7.60073	NA	NA	NA	NA	NA	4.1	NA	NA	NA	NA
Acidisoma	cellulosilyticum	NA	NA	NA	NA	NA	6.00438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidisoma	sibiricum	1	NA	NA	60.7	NA	NA	0	NA	0.8109302162163288	0	5	5.75	1.25	22.5	-0.05129329438755058	0
Acidisoma	silvae	NA	NA	NA	NA	NA	5.43612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidisoma	tundrae	1	NA	NA	61.9	NA	NA	0	NA	1.0986122886681098	0	5	5.1	0.75	18.5	0.13976194237515863	0
Acidisphaera	rubrifaciens	NA	NA	NA	69.45	NA	3.86227	0	NA	0	0	5	NA	NA	NA	-0.16251892949777494	NA
Aciditerrimonas	ferrireducens	NA	NA	NA	74.1	NA	2.64995	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidithiobacillus	albertensis	NA	NA	NA	61.5	NA	3.50332	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidithiobacillus	caldus	NA	NA	2	61.581575	3080.6666666666665	3.0322785714285714	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidithiobacillus	ferrianus	NA	NA	NA	58.2	NA	3.16586	0	NA	0.6151856390902335	1	2	NA	NA	NA	NA	0
Acidithiobacillus	ferridurans	NA	NA	2	58.2	3009	2.9214	0	NA	0.4054651081081644	NA	2	NA	NA	29	0.4054651081081644	0
Acidithiobacillus	ferriphilus	NA	NA	NA	57.11073333333333	2539	2.53932	0	NA	0.4054651081081644	1	2	NA	NA	NA	NA	0
Acidithiobacillus	ferrivorans	NA	NA	2	56.38333333333333	3185	3.238794	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidithiobacillus	ferrooxidans	NA	NA	2	58.32864705882353	3197.5	3.1501646153846155	0	NA	NA	1	5	2.65	NA	NA	NA	1
Acidithiobacillus	sulfuriphilus	NA	NA	NA	61.5	NA	2.81686	0	NA	0.6931471805599453	1	5	NA	NA	NA	-0.6931471805599453	0
Acidithiobacillus	thiooxidans	NA	NA	2	52.525	3584	3.41573	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidithrix	ferrooxidans	NA	NA	NA	57.4	NA	4.01987	1	NA	NA	NA	5	2.5	NA	NA	NA	NA
Acidobacteria	bacterium	NA	NA	1.5	56.6	3947.3333333333335	4.739373333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidobacteriaceae	bacterium	NA	NA	NA	58.4	NA	5.3599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidobacterium	ailaaui	NA	NA	NA	57.2	NA	NA	0	NA	0.4054651081081644	0	5	NA	NA	NA	-0.2231435513142097	0
Acidobacterium	capsulatum	NA	NA	1	60.45	3386	4.12736	0	NA	0.5306282510621704	0	5	NA	NA	NA	NA	1
Acidocella	aluminiidurans	NA	NA	NA	65.6	NA	NA	0	NA	0.3364722366212129	0	5	4.5	NA	32.5	-1.2039728043259361	0
Acidocella	aminolytica	NA	NA	NA	58.95	NA	3.96482	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidocella	aquatica	NA	NA	NA	62.6	NA	NA	0	NA	0.6418538861723947	0	5	NA	NA	NA	-0.35667494393873245	0
Acidocella	aromatica	NA	NA	NA	62.75	NA	2.87735	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
Acidocella	facilis	NA	NA	NA	NA	NA	3.40393	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidoferrum	panamensis	NA	NA	NA	NA	NA	5.44871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidoferrum	typicum	NA	NA	NA	NA	NA	5.5126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidomonas	methanolica	NA	NA	NA	62.45454545454545	NA	3.68125	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidothermus	cellulolyticus	NA	NA	1	66.9	2206	2.44354	1	NA	NA	NA	5	5	NA	NA	NA	0
Acidovorax	antarcticus	NA	NA	NA	66.332	4642	5.02544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
